Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,Field 40,Value 40,Units 40,Field 41,Value 41,Units 41,Field 42,Value 42,Units 42,Field 43,Value 43,Units 43,Field 44,Value 44,Units 44,Field 45,Value 45,Units 45,Field 46,Value 46,Units 46,Field 47,Value 47,Units 47,Field 48,Value 48,Units 48,Field 49,Value 49,Units 49,Field 50,Value 50,Units 50,Field 51,Value 51,Units 51,Field 52,Value 52,Units 52,Field 53,Value 53,Units 53,Field 54,Value 54,Units 54,Field 55,Value 55,Units 55,Field 56,Value 56,Units 56,Field 57,Value 57,Units 57,Field 58,Value 58,Units 58,Field 59,Value 59,Units 59,Field 60,Value 60,Units 60,Field 61,Value 61,Units 61,Field 62,Value 62,Units 62,Field 63,Value 63,Units 63,Field 64,Value 64,Units 64,Field 65,Value 65,Units 65,Field 66,Value 66,Units 66,Field 67,Value 67,Units 67,Field 68,Value 68,Units 68,Field 69,Value 69,Units 69,Field 70,Value 70,Units 70,Field 71,Value 71,Units 71,Field 72,Value 72,Units 72,Field 73,Value 73,Units 73,Field 74,Value 74,Units 74,Field 75,Value 75,Units 75,Field 76,Value 76,Units 76,Field 77,Value 77,Units 77,Field 78,Value 78,Units 78,Field 79,Value 79,Units 79,Field 80,Value 80,Units 80,Field 81,Value 81,Units 81,Field 82,Value 82,Units 82,Field 83,Value 83,Units 83,Field 84,Value 84,Units 84,Field 85,Value 85,Units 85,Field 86,Value 86,Units 86,Field 87,Value 87,Units 87,Field 88,Value 88,Units 88,Field 89,Value 89,Units 89,
Definition,0,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3366957239",,time_created,"990379193",,manufacturer,"1",,garmin_product,"3122",,type,"4",,,,,,,,
Definition,1,file_creator,unknown,20,,software_version,1,,hardware_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"710",,,,,,,,,,,,,,,,,,,,
Definition,2,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,
Data,2,unknown,unknown,"990379193",,unknown,"1",,,,,,,,,,,,,,,,,
Definition,3,event,timestamp,1,,data,1,,unknown,1,,unknown,1,,event,1,,event_type,1,,event_group,1,,
Data,3,event,timestamp,"990379193",s,timer_trigger,"0",,event,"0",,event_type,"0",,event_group,"0",,,,,,,,
Definition,4,device_info,timestamp,1,,serial_number,1,,cum_operating_time,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,manufacturer,1,,product,1,,software_version,1,,battery_voltage,1,,unknown,1,,device_index,1,,device_type,1,,hardware_version,1,,unknown,1,,battery_status,1,,ant_network,1,,source_type,1,,unknown,6,,unknown,1,,
Data,4,device_info,timestamp,"990379193",s,serial_number,"3366957239",,manufacturer,"1",,garmin_product,"3122",,software_version,"7.1",,device_index,"0",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"990379193",s,manufacturer,"1",,garmin_product,"3122",,software_version,"7.1",,device_index,"1",,device_type,"4",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"990379193",s,manufacturer,"1",,garmin_product,"3107",,software_version,"4.8",,device_index,"2",,device_type,"0",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,device_info,timestamp,"990379193",s,manufacturer,"5136",,product,"25085",,device_index,"3",,device_type,"7",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,5,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"990379193",,unknown,"2",,unknown,"2",,unknown,"1",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,6,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"990379193",,unknown,"989539200",,unknown,"990144000",,unknown,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,7,device_settings,utc_offset,1,,time_offset,1,,unknown,1,,autosync_min_time,1,,active_time_zone,1,,unknown,1,,time_mode,1,,time_zone_offset,1,,unknown,1,,unknown,1,,backlight_mode,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,date_mode,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,lactate_threshold_autodetect_enabled,1,,unknown,1,,unknown,2,,number_of_screens,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,30,,unknown,15,,
Data,7,device_settings,utc_offset,"0",,time_offset,"7200",s,active_time_zone,"0",,unknown,"0",,time_mode,"1",,time_zone_offset,"0.0",hr,unknown,"0",,unknown,"3",,backlight_mode,"3",,unknown,"0",,unknown,"0",,unknown,"50",,unknown,"0",,unknown,"254",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"1",,date_mode,"1",,unknown,"0",,unknown,"1",,unknown,"1",,unknown,"0",,unknown,"14",,lactate_threshold_autodetect_enabled,"1",,unknown,"0",,unknown,"11|8",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"0",,unknown,"8|7|9|13|11|12|5|6|14|10|1|4|0|2|3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,8,user_profile,friendly_name,16,,wake_time,1,,sleep_time,1,,unknown,1,,unknown,1,,unknown,1,,weight,1,,user_running_step_length,1,,user_walking_step_length,1,,unknown,1,,unknown,1,,unknown,1,,gender,1,,age,1,,height,1,,language,1,,elev_setting,1,,weight_setting,1,,resting_heart_rate,1,,default_max_biking_heart_rate,1,,default_max_heart_rate,1,,hr_setting,1,,speed_setting,1,,dist_setting,1,,power_setting,1,,activity_class,1,,position_setting,1,,temperature_setting,1,,unknown,1,,height_setting,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,user_profile,friendly_name,"edge830",,wake_time,"21614",,sleep_time,"79200",,unknown,"0.0",,weight,"84.0",kg,gender,"1",,age,"53",years,height,"1.89",m,language,"0",,elev_setting,"0",,weight_setting,"0",,resting_heart_rate,"0",bpm,default_max_biking_heart_rate,"185",bpm,default_max_heart_rate,"185",bpm,hr_setting,"1",,speed_setting,"0",,dist_setting,"0",,power_setting,"1",,activity_class,"40",,position_setting,"1",,temperature_setting,"0",,unknown,"67",,height_setting,"0",,unknown,"0",,unknown,"23",,unknown,"9",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,9,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,unknown,unknown,"990379193",,unknown,"3889759367",,unknown,"0",,unknown,"0",,unknown,"0",,unknown,"0",,unknown,"840",,unknown,"0",,unknown,"0",,unknown,"0",,unknown,"200",,unknown,"0",,unknown,"0",,unknown,"53",,unknown,"189",,unknown,"1",,unknown,"70",,unknown,"178",,unknown,"1",,unknown,"60",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,10,sport,name,32,,unknown,1,,sport,1,,sub_sport,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,3,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,sport,name,"OFF ROAD|D`||||N|||0|7E`=b",,unknown,"45",,sport,"2",,sub_sport,"46",,unknown,"1",,unknown,"0",,unknown,"0",,unknown,"3",,unknown,"255|125|0",,unknown,"1",,unknown,"0",,unknown,"2",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,11,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,
Data,11,unknown,unknown,"804672",,unknown,"1200000",,unknown,"0",,unknown,"6706",,unknown,"1341",,unknown,"60",,unknown,"2682",,unknown,"255",,unknown,"750",,unknown,"5400",,unknown,"0",,unknown,"6",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"0",,unknown,"0",,unknown,"2",,unknown,"1",,unknown,"2",,unknown,"0",,unknown,"1",,unknown,"0",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"0",,unknown,"0",,unknown,"2",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
